resume_text,jd_text,label,jd_role,candidate_role
"Detail-oriented Data Scientist with hands-on experience across projects. Has 10 years of professional experience. Core skills include jupyter, pandas, regression, scikit-learn. Continuously learning new tools and technologies.","We are hiring a UI/UX Designer to join our growing team. You should have 2+ years in the field and be comfortable with figma, usability testing, user research, wireframing, interaction design. Strong communication and teamwork are a plus.",0,UI/UX Designer,Data Scientist
"Motivated QA Engineer eager to contribute technical expertise. 9 years working in related roles. Proficient in api testing, ci/cd, mentoring, python, regression testing, test automation, test case design, time management. Continuously learning new tools and technologies.","Data Scientist wanted for a fast-paced, collaborative environment. The ideal candidate has 7+ years of experience and is skilled in regression, sql, statistics, machine learning, numpy, scikit-learn. Strong communication and teamwork are a plus.",1,Data Scientist,QA Engineer
"Experienced Cybersecurity Analyst with a passion for building great products. Has 5 years of professional experience. Proficient in firewalls, linux, penetration testing, python, risk assessment, siem, time management. Comfortable working independently or in a team.","UI/UX Designer wanted for a fast-paced, collaborative environment. The ideal candidate has 4+ years of experience and is skilled in interaction design, figma, wireframing, adobe xd, prototyping, usability testing. Competitive salary and benefits offered.",0,UI/UX Designer,Cybersecurity Analyst
"Backend Developer with a proven track record of delivering results. 1 years working in related roles. Proficient in celery, django, docker, flask, mentoring, microservices, postgresql, sql, unit testing. Continuously learning new tools and technologies.","Our company is looking for an experienced Backend Developer to help us scale. Requirements: at least 4 years of relevant experience, with hands-on skills in microservices, postgresql, rest api, git, docker, redis. We value problem solving and a growth mindset.",0,Backend Developer,Backend Developer
"Backend Developer with a proven track record of delivering results. 5 years working in related roles. Hands-on experience with celery, flask, git, leadership, microservices, python, sql, unit testing. Known for strong communication and teamwork.","Backend Developer wanted for a fast-paced, collaborative environment. You should have 6+ years in the field and be comfortable with docker, microservices, git, unit testing, sql, redis, python, postgresql. Competitive salary and benefits offered.",1,Backend Developer,Backend Developer
"Mobile Developer with a proven track record of delivering results. 3 years working in related roles. Core skills include android, flutter, ios, kotlin, mobile ui design, react native, rest api. Comfortable working independently or in a team.","Our company is looking for an experienced Mobile Developer to help us scale. You should have 1+ years in the field and be comfortable with kotlin, flutter, rest api, android, mobile ui design. Strong communication and teamwork are a plus.",1,Mobile Developer,Mobile Developer
"Detail-oriented Data Scientist with hands-on experience across projects. Has 4 years of professional experience. Hands-on experience with django, feature engineering, postgresql, python, regression, scikit-learn. Known for strong communication and teamwork.","We are hiring a UI/UX Designer to join our growing team. You should have 3+ years in the field and be comfortable with design systems, interaction design, prototyping, figma, wireframing, adobe xd, user research. We value problem solving and a growth mindset.",0,UI/UX Designer,Data Scientist
"Detail-oriented Data Scientist with hands-on experience across projects. 1 years working in related roles. Proficient in a/b testing, classification, feature engineering, jupyter, leadership, pandas, problem solving, product strategy, python, regression, scrum, sql, statistics. Known for strong communication and teamwork.","Join us as a Product Manager and make an impact from day one. Requirements: at least 3 years of relevant experience, with hands-on skills in stakeholder management, product strategy, jira, communication, agile, product roadmap, data analysis, user research. Remote-friendly with flexible hours.",0,Product Manager,Data Scientist
"Detail-oriented Cloud Engineer with hands-on experience across projects. Has 8 years of professional experience. Proficient in docker, gcp, linux, networking. Comfortable working independently or in a team.","Our company is looking for an experienced Cloud Engineer to help us scale. Requirements: at least 4 years of relevant experience, with hands-on skills in azure, terraform, gcp, ci/cd, networking. Strong communication and teamwork are a plus.",0,Cloud Engineer,Cloud Engineer
"Motivated Frontend Developer eager to contribute technical expertise. Has 10 years of professional experience. Core skills include accessibility, css, javascript, leadership, react, responsive design, rest api, teamwork, typescript, webpack. Comfortable working independently or in a team.","Our company is looking for an experienced Data Scientist to help us scale. The ideal candidate has 5+ years of experience and is skilled in regression, statistics, python, feature engineering, data visualization. Strong communication and teamwork are a plus.",0,Data Scientist,Frontend Developer
"Experienced UI/UX Designer with a passion for building great products. 9 years working in related roles. Hands-on experience with adobe xd, design systems, prototyping, usability testing, user research, wireframing. Comfortable working independently or in a team.","Our company is looking for an experienced UI/UX Designer to help us scale. You should have 1+ years in the field and be comfortable with design systems, user research, figma, usability testing, prototyping, adobe xd, interaction design. Competitive salary and benefits offered.",1,UI/UX Designer,UI/UX Designer
"Experienced Backend Developer with a passion for building great products. Has 6 years of professional experience. Proficient in celery, flask, git, manual testing, microservices, postgresql, project management, python, rest api, sql, test case design, time management, unit testing. Continuously learning new tools and technologies.","Our company is looking for an experienced Backend Developer to help us scale. You should have 3+ years in the field and be comfortable with sql, django, redis, unit testing, flask, git. Competitive salary and benefits offered.",1,Backend Developer,Backend Developer
